freq,trt,product,timing,rep,visits,visitors,seconds
Threshold,Assail AM,Assail,AM,1,2.333333,1.8,211
Threshold,Assail AM,Assail,AM,2,2.2,2.2,167
Threshold,Assail AM,Assail,AM,3,2,1.466667,157
Threshold,Assail AM,Assail,AM,4,1.866667,1.6,240
Threshold,Assail AM,Assail,AM,5,2,1.266667,254
Threshold,Assail PM,Assail,PM,1,1.8,1.466667,139
Threshold,Assail PM,Assail,PM,2,1.933333,1.866667,304
Threshold,Assail PM,Assail,PM,3,1.4,1.4,425
Threshold,Assail PM,Assail,PM,4,2.066667,2,278
Threshold,Assail PM,Assail,PM,5,2.6,1.466667,320
Threshold,Bifenture AM,Bifenture,AM,1,1.933333,1.4,168
Threshold,Bifenture AM,Bifenture,AM,2,1.666667,1.266667,282
Threshold,Bifenture AM,Bifenture,AM,3,2.333333,1.266667,121
Threshold,Bifenture AM,Bifenture,AM,4,3.2,2.6,407
Threshold,Bifenture AM,Bifenture,AM,5,2.133333,1.8,303
Threshold,Bifenture PM,Bifenture,PM,1,1.8,1.6,348
Threshold,Bifenture PM,Bifenture,PM,2,2.2,1.8,148
Threshold,Bifenture PM,Bifenture,PM,3,1.533333,1.133333,86
Threshold,Bifenture PM,Bifenture,PM,4,3.066667,2.066667,145
Threshold,Bifenture PM,Bifenture,PM,5,2.066667,1.733333,231
Threshold,Harvanta AM,Harvanta,AM,1,2,1.466667,232
Threshold,Harvanta AM,Harvanta,AM,2,1.6,1.4,200
Threshold,Harvanta AM,Harvanta,AM,3,1.6,1.4,329
Threshold,Harvanta AM,Harvanta,AM,4,0.866667,0.533333,236
Threshold,Harvanta AM,Harvanta,AM,5,1.333333,1,349
Threshold,Harvanta PM,Harvanta,PM,1,1.533333,0.8,146
Threshold,Harvanta PM,Harvanta,PM,2,1.866667,1.333333,103
Threshold,Harvanta PM,Harvanta,PM,3,2.2,2,175
Threshold,Harvanta PM,Harvanta,PM,4,1.4,1.266667,140
Threshold,Harvanta PM,Harvanta,PM,5,2,1.733333,227
Weekly,Assail AM,Assail,AM,1,1.466667,1.4,226
Weekly,Assail AM,Assail,AM,2,1.6,1.2,119
Weekly,Assail AM,Assail,AM,3,0.4,0.266667,180
Weekly,Assail AM,Assail,AM,4,1.533333,0.933333,34
Weekly,Assail AM,Assail,AM,5,1.266667,0.866667,100
Weekly,Assail PM,Assail,PM,1,1.6,1.4,108
Weekly,Assail PM,Assail,PM,2,0.8,0.533333,160
Weekly,Assail PM,Assail,PM,3,1.133333,0.733333,145
Weekly,Assail PM,Assail,PM,4,1.133333,1,381
Weekly,Assail PM,Assail,PM,5,1.4,1.133333,95
Weekly,Bifenture AM,Bifenture,AM,1,2,1.666667,65
Weekly,Bifenture AM,Bifenture,AM,2,0.8,0.533333,356
Weekly,Bifenture AM,Bifenture,AM,3,0.8,0.666667,184
Weekly,Bifenture AM,Bifenture,AM,4,1.333333,1.333333,76
Weekly,Bifenture AM,Bifenture,AM,5,0.6,0.6,141
Weekly,Bifenture PM,Bifenture,PM,1,1.533333,1.533333,35
Weekly,Bifenture PM,Bifenture,PM,2,1.733333,1.2,222
Weekly,Bifenture PM,Bifenture,PM,3,0.933333,0.666667,230
Weekly,Bifenture PM,Bifenture,PM,4,2.133333,1.733333,39
Weekly,Bifenture PM,Bifenture,PM,5,1.4,1.2,283
Weekly,Harvanta AM,Harvanta,AM,1,1.4,1.133333,263
Weekly,Harvanta AM,Harvanta,AM,2,1.8,1.266667,226
Weekly,Harvanta AM,Harvanta,AM,3,2.6,2.333333,331
Weekly,Harvanta AM,Harvanta,AM,4,1.4,0.933333,109
Weekly,Harvanta AM,Harvanta,AM,5,2.4,1.866667,125
Weekly,Harvanta PM,Harvanta,PM,1,1.666667,1.533333,231
Weekly,Harvanta PM,Harvanta,PM,2,1.8,1.733333,163
Weekly,Harvanta PM,Harvanta,PM,3,1.333333,1.066667,291
Weekly,Harvanta PM,Harvanta,PM,4,0.666667,0.6,58
Weekly,Harvanta PM,Harvanta,PM,5,1.733333,1.333333,130
